Description,Count,Sum
Time spent on MongoDB one_kb_60_false write operations,442650.0,36.55329243815504
Time spent on MongoDB ten_kb_60_false write operations,84976.0,19.373831942211837
Time spent on MongoDB twenty_kb_60_false write operations,42344.0,14.8232174559962
Time spent on MongoDB fifty_kb_60_false write operations,20986.0,11.108599408646114
Time spent on MongoDB one_hundred_kb_60_false write operations,11039.0,9.141707198927179
Time spent on MongoDB one_kb_60_true write operations,434031.0,34.7993987086229
Time spent on MongoDB ten_kb_60_true write operations,79469.0,20.860661772661842
Time spent on MongoDB twenty_kb_60_true write operations,41650.0,14.7466799832182
Time spent on MongoDB fifty_kb_60_true write operations,20448.0,11.899161767913029
Time spent on MongoDB one_hundred_kb_60_true write operations,10806.0,10.130771238473244
