Description,Count,Sum
Time spent on MongoDB one_kb_60_false write operations,444367.0,36.127331041847356
Time spent on MongoDB ten_kb_60_false write operations,87194.0,19.118691695854068
Time spent on MongoDB twenty_kb_60_false write operations,41602.0,14.65179435594473
Time spent on MongoDB fifty_kb_60_false write operations,20721.0,11.080444370396435
Time spent on MongoDB one_hundred_kb_60_false write operations,10854.0,9.31612577685155
Time spent on MongoDB one_kb_60_true write operations,427247.0,34.693775136140175
Time spent on MongoDB ten_kb_60_true write operations,73252.0,20.83511368231848
Time spent on MongoDB twenty_kb_60_true write operations,40106.0,14.816842050175183
Time spent on MongoDB fifty_kb_60_true write operations,19952.0,12.545255016651936
Time spent on MongoDB one_hundred_kb_60_true write operations,10666.0,9.958294194075279
