Description,Count,Sum
Time spent on Cassandra one_kb_60_false write operations,329920.0,44.073735387879424
Time spent on Cassandra ten_kb_60_false write operations,88667.0,26.4267054250231
Time spent on Cassandra twenty_kb_60_false write operations,51688.0,21.7821970845107
Time spent on Cassandra fifty_kb_60_false write operations,22222.0,18.598326259991154
Time spent on Cassandra one_hundred_kb_60_false write operations,11968.0,15.793481345288455
Time spent on Cassandra one_kb_60_true write operations,288130.0,44.798910593031906
Time spent on Cassandra ten_kb_60_true write operations,85423.0,27.216543375863694
Time spent on Cassandra twenty_kb_60_true write operations,50786.0,21.558505208115093
Time spent on Cassandra fifty_kb_60_true write operations,20675.0,20.929170196177438
Time spent on Cassandra one_hundred_kb_60_true write operations,12573.0,13.473726861760952
