Description,Count,Sum
Time spent on Cassandra one_kb_60_false write operations,325139.0,44.339142229408026
Time spent on Cassandra ten_kb_60_false write operations,88825.0,26.023062634747475
Time spent on Cassandra twenty_kb_60_false write operations,51398.0,21.37760672753211
Time spent on Cassandra fifty_kb_60_false write operations,22587.0,16.870280449162237
Time spent on Cassandra one_hundred_kb_60_false write operations,11938.0,14.968614484299906
Time spent on Cassandra one_kb_60_true write operations,267865.0,45.69401425111573
Time spent on Cassandra ten_kb_60_true write operations,84962.0,26.822679453878663
Time spent on Cassandra twenty_kb_60_true write operations,50708.0,21.343660405837
Time spent on Cassandra fifty_kb_60_true write operations,21395.0,19.026394257554784
Time spent on Cassandra one_hundred_kb_60_true write operations,12641.0,12.500621948041953
