Description,Count,Sum
Time spent on Cassandra one_kb_60_false write operations,333752.0,44.01544211304281
Time spent on Cassandra ten_kb_60_false write operations,88858.0,26.451436713105068
Time spent on Cassandra twenty_kb_60_false write operations,53436.0,20.237704041646793
Time spent on Cassandra fifty_kb_60_false write operations,21996.0,18.58778828708455
Time spent on Cassandra one_hundred_kb_60_false write operations,12438.0,14.002511758357286
Time spent on Cassandra one_kb_60_true write operations,281281.0,45.17557224223856
Time spent on Cassandra ten_kb_60_true write operations,81695.0,27.74178536760155
Time spent on Cassandra twenty_kb_60_true write operations,50084.0,21.4089872201439
Time spent on Cassandra fifty_kb_60_true write operations,23260.0,15.661546176997945
Time spent on Cassandra one_hundred_kb_60_true write operations,12458.0,12.766385623719543
