Description,Count,Sum
Time spent on MongoDB 30_seconds_false query operations,312298.0,29.399340275442228
Time spent on MongoDB 30_seconds_true query operations,16679.0,29.79665391461458
Time spent on MongoDB 60_seconds_false query operations,641264.0,58.78326167259365
Time spent on MongoDB 60_seconds_true query operations,31205.0,59.600795977632515
Time spent on MongoDB 300_seconds_false query operations,3182320.0,293.97982588480227
Time spent on MongoDB 300_seconds_true query operations,149176.0,298.0235577042913
