Description,Count,Sum
Time spent on MongoDB 30_seconds_false query operations,309226.0,29.393611823907122
Time spent on MongoDB 30_seconds_true query operations,16243.0,29.80289488856215
Time spent on MongoDB 60_seconds_false query operations,640701.0,58.78088509605732
Time spent on MongoDB 60_seconds_true query operations,32078.0,59.60200246376917
Time spent on MongoDB 300_seconds_false query operations,3227398.0,293.81849408184644
Time spent on MongoDB 300_seconds_true query operations,148336.0,298.0474380477099
